406 160
132 28
571 463
442 420 3296.4
441 422 3299.91
441 424 3303.42
441 426 3306.93
442 426 3310.44
442 426 3313.95
441 426 3317.46
440 427 3320.97
439 426 3324.48
437 427 3327.99
435 427 3331.5
435 426 3335.01
435 425 3338.52
437 422 3342.03
434 424 3345.54
433 424 3349.05
428 424 3352.57
422 423 3356.08
421 421 3359.59
416 420 3363.1
408 418 3366.61
407 416 3370.12
401 412 3373.63
401 410 3377.14
401 409 3380.65
399 406 3384.16
398 405 3387.67
397 403 3391.18
395 400 3394.69
393 398 3398.2
391 396 3401.71
387 393 3405.22
386 391 3408.73
383 389 3412.24
381 388 3415.76
378 386 3419.27
377 385 3422.78
374 385 3426.29
372 384 3429.8
371 383 3433.31
368 383 3436.82
364 383 3440.33
362 383 3443.84
359 383 3447.35
357 381 3450.86
355 381 3454.37
355 381 3457.88
353 379 3461.39
352 380 3464.9
349 378 3468.41
347 378 3471.92
345 376 3475.43
343 375 3478.94
342 372 3482.46
342 372 3485.97
341 370 3489.48
339 368 3492.99
339 367 3496.5
338 365 3500.01
338 364 3503.52
337 361 3507.03
337 362 3510.54
336 358 3514.05
336 355 3517.56
335 352 3521.07
335 351 3524.58
335 349 3528.09
335 348 3531.6
335 344 3535.11
333 340 3538.62
332 337 3542.13
327 334 3545.65
325 331 3549.16
325 330 3552.67
325 329 3556.18
323 328 3559.69
321 326 3563.2
318 324 3566.71
314 321 3570.22
311 319 3573.73
310 319 3577.24
309 318 3580.75
306 316 3584.26
305 315 3587.77
303 313 3591.28
299 310 3594.79
302 311 3598.3
299 309 3601.81
296 308 3605.32
292 307 3608.83
290 306 3612.35
290 306 3615.86
286 305 3619.37
283 304 3622.88
276 303 3626.39
274 303 3629.9
270 303 3633.41
271 303 3636.92
263 303 3640.43
265 303 3643.94
259 302 3647.45
256 303 3650.96
252 304 3654.47
251 304 3657.98
248 306 3661.49
245 306 3665
241 307 3668.51
242 307 3672.02
241 309 3675.54
236 310 3679.05
233 311 3682.56
226 311 3686.07
225 310 3689.58
224 311 3693.09
223 309 3696.6
223 310 3700.11
221 308 3703.62
219 305 3707.13
216 301 3710.64
218 307 3714.15
215 304 3717.66
215 304 3721.17
214 303 3724.68
212 301 3728.19
210 300 3731.7
210 301 3735.21
210 302 3738.72
206 299 3742.24
204 297 3745.75
201 296 3749.26
200 294 3752.77
198 292 3756.28
197 292 3759.79
195 289 3763.3
192 285 3766.81
192 284 3770.32
191 282 3773.83
190 281 3777.34
190 282 3780.85
190 282 3784.36
189 277 3787.87
188 271 3791.38
188 267 3794.89
188 264 3798.4
188 261 3801.91
188 259 3805.43
188 258 3808.94
188 256 3812.45
188 253 3815.96
188 253 3819.47
189 250 3822.98
189 244 3826.49
189 241 3830
188 241 3833.51
188 240 3837.02
188 236 3840.53
189 228 3844.04
189 226 3847.55
189 223 3851.06
190 228 3854.57
191 228 3858.08
189 222 3861.59
188 219 3865.1
188 215 3868.61
187 211 3872.13
186 209 3875.64
186 206 3879.15
184 200 3882.66
182 198 3886.17
179 194 3889.68
176 189 3893.19
173 187 3896.7
172 187 3900.21
166 185 3903.72
171 188 3907.23
173 191 3910.74
173 191 3914.25
170 191 3917.76
169 190 3921.27
168 190 3924.78
165 189 3928.29
162 188 3931.8
161 188 3935.32
158 188 3938.83
155 188 3942.34
155 188 3945.85
155 190 3949.36
152 190 3952.87
151 190 3956.38
150 191 3959.89
149 191 3963.4
147 191 3966.91
146 191 3970.42
145 192 3973.93
145 192 3977.44
145 192 3980.95
144 193 3984.46
144 194 3987.97
143 194 3991.48
143 195 3994.99
143 195 3998.5
143 196 4002.02
143 196 4005.53
143 197 4009.04
142 199 4012.55
143 199 4016.06
143 199 4019.57
143 198 4023.08
143 198 4026.59
145 199 4030.1
147 199 4033.61
149 198 4037.12
150 197 4040.63
152 197 4044.14
155 199 4047.65
153 202 4051.16
155 202 4054.67
160 203 4061.69
162 202 4065.21
166 200 4068.72
165 201 4072.23
166 202 4075.74
171 202 4079.25
171 202 4082.76
176 202 4086.27
180 201 4089.78
181 202 4093.29
181 202 4096.8
183 202 4100.31
184 202 4103.82
188 202 4107.33
190 200 4110.84
192 200 4114.35
194 199 4117.86
197 198 4121.37
199 196 4124.88
200 196 4128.39
201 195 4131.91
203 195 4135.42
204 194 4138.93
205 194 4142.44
207 192 4145.95
209 191 4149.46
209 191 4152.97
212 187 4156.48
214 183 4159.99
214 183 4163.5
218 180 4167.01
219 179 4170.52
221 177 4174.03
222 177 4177.54
225 174 4181.05
227 175 4184.56
228 175 4188.07
228 175 4191.58
230 174 4195.1
230 174 4198.61
232 171 4202.12
234 169 4205.63
237 167 4209.14
240 164 4212.65
239 164 4216.16
242 162 4219.67
244 161 4223.18
247 160 4226.69
250 157 4230.2
252 155 4233.71
255 154 4237.22
256 153 4240.73
258 152 4244.24
259 151 4247.75
261 150 4251.26
262 150 4254.77
265 147 4258.28
267 147 4261.8
270 143 4265.31
271 144 4268.82
275 141 4272.33
277 140 4275.84
280 137 4279.35
281 136 4282.86
281 135 4286.37
283 134 4289.88
283 132 4293.39
286 129 4296.9
286 130 4300.41
291 121 4303.92
292 118 4307.43
293 117 4310.94
294 114 4314.45
298 111 4317.96
299 110 4321.47
302 108 4324.98
303 108 4328.5
309 107 4332.01
309 106 4335.52
309 105 4339.03
309 105 4342.54
311 105 4346.05
315 106 4349.56
317 106 4353.07
319 107 4356.58
322 108 4360.09
323 109 4363.6
324 109 4367.11
324 109 4370.62
327 111 4374.13
330 113 4377.64
332 115 4381.15
334 116 4384.66
336 118 4388.17
340 121 4391.69
341 122 4395.2
343 123 4398.71
345 125 4402.22
349 128 4405.73
351 130 4409.24
353 132 4412.75
355 134 4416.26
357 136 4419.77
359 138 4423.28
361 139 4426.79
364 142 4430.3
366 143 4433.81
374 147 4437.32
375 148 4440.83
377 150 4444.34
378 150 4447.85
375 149 4451.36
375 148 4454.88
373 149 4458.39
373 149 4461.9
374 149 4465.41
375 150 4468.92
376 150 4472.43
379 150 4475.94
382 149 4479.45
383 150 4482.96
384 149 4486.47
386 150 4489.98
388 150 4493.49
389 151 4497
387 148 4500.51
391 151 4504.02
392 152 4507.53
391 152 4511.04
394 151 4514.55
394 150 4518.06
394 151 4521.58
395 151 4525.09
